year,state,gdp_per_capita,literacy_rate,female_literacy_rate,poverty_rate,unemployment_rate,internet_penetration,urban_population_pct,life_expectancy
2020,Bihar,249600,74.6412945482207,63.901466019439845,5.323090952655401,9.242129774250976,58.36151222270326,68.13833360714068,74.4091495840701
2021,Bihar,187761,71.1804378695533,75.79773674657201,13.76719128555652,11.275471383626757,31.14154249945471,,74.17470218933524
2022,Bihar,136448,82.9886592481125,92.40819356222102,25.197082999988133,9.159556955306098,28.32094403288745,25.353979709655984,66.47220929319086
2023,Bihar,97484,79.40028012939564,76.75390032132168,34.27111506545879,7.586815400962485,54.156728231085374,38.21365065679546,69.62421667114491
2011,Delhi,146584,67.70969636568282,86.62644279115587,25.8650865425821,9.851597764401703,,,73.61103197371808
2012,Delhi,255043,66.38761518049215,,25.42190538775613,7.156780936740504,72.7448632054735,69.43371020510523,67.53544619642368
2013,Delhi,99943,67.58964592556009,88.93434488301246,,11.992105512625692,28.88587864895599,36.69568091912874,67.61882975151326
2014,Delhi,163944,97.65379704193154,63.21792487576711,19.086549558084826,11.020178837421568,47.66018075617157,26.071156653468865,70.19397913173965
2015,Delhi,87759,80.43090069167056,72.8294310125759,,11.19319109273772,57.10550017876911,45.13952679638501,75.1750552181275
2016,Delhi,231337,92.06812447264959,77.58672943115909,15.824778255925242,10.930363540975549,92.31498602657973,35.454617506061474,75.82117348174984
2017,Delhi,126494,78.30685418677616,78.66171782368711,8.637537791576433,6.010851761087796,50.90668392496165,69.5222572473634,75.77095441801522
2018,Delhi,164125,76.09574138808345,86.49562448474877,36.5571064613698,7.752710605781217,49.097087106973774,32.71148246546029,74.71452746542646
2019,Delhi,107359,86.11125646101947,,,3.45889556872737,34.527698021579035,29.96477447809457,68.31790738511418
2020,Delhi,220421,92.5903375402304,73.46934645281809,8.062087136296416,4.72389644453002,55.22467460740918,58.38883165611212,73.40387835016595
2021,Delhi,198728,93.90306118732461,91.88445705199483,5.63606490771635,10.457721367436077,32.53948233994511,41.98961274641488,66.83455731893041
2022,Delhi,202498,90.37072484627501,70.55990529373592,,,61.34389668502814,63.477531539553496,71.04084801013609
2023,Delhi,193757,68.67952758062813,69.27795893353355,,7.1436028379466,77.94737630559429,41.960953391513556,
2011,Gujarat,247700,65.56663128898448,95.97618233230494,33.95662222231492,10.488508126648602,59.387602700441505,58.63473607677229,68.65245164868682
2012,Gujarat,174837,88.75332361245083,65.97417287429981,38.74633348523342,4.2478511246250985,89.41021527142789,25.663988867174798,69.16872327620342
2013,Gujarat,134315,79.98792106681161,75.5973123757137,20.334530156993967,6.056809282857827,,37.41789206418267,
2014,Gujarat,83145,91.87955719628337,69.97149373451461,11.14565753341217,7.175014227657481,77.71349660623459,63.10705020796343,71.21120971370458
2015,Gujarat,173936,78.99979928158804,94.37538723385583,33.053549676719044,6.440712121447907,74.16327316920999,44.15321046157024,73.79141415104333
2016,Gujarat,136830,78.69295044069662,82.30864569848379,10.4003255162912,9.561491390453622,71.65378994658136,69.38308658576317,73.22031294797206
2017,Gujarat,142743,69.25548757901353,90.99310424511333,5.399312887688403,8.981909423991793,15.307931605606344,68.94710264714342,69.7100335213958
2018,Gujarat,251370,95.5534288983489,85.61519521421283,22.771467262172397,11.853822464614133,29.21230709355089,43.97881042186252,69.7269714792357
2019,Gujarat,92107,94.40619668629978,60.2568724004942,12.466756639357087,9.842377864306387,28.14960160106648,32.92726018235124,66.24363060000093
2020,Gujarat,190920,75.23816620055575,86.2110501509979,30.22310514108819,6.5434413207593805,47.04480806832924,55.368603125262396,72.74614020164766
2021,Gujarat,133308,65.09989720438988,94.82179257459211,31.39183672283638,10.253148922058163,,47.52486762999364,67.22068222845817
2022,Gujarat,166801,71.37889693252419,87.96365763978113,31.829886404441762,3.832812129643724,65.1639290175548,53.70463481895814,67.00188893878673
2023,Gujarat,239293,75.01997660936539,66.36795425639816,30.44363093885046,10.678794204394926,66.91117446757949,45.01536451077624,
2011,Karnataka,149781,91.23689464764756,89.91902349406476,23.12112337000668,4.457699556052962,27.450263516757325,57.95211412998875,73.84147668164023
2012,Karnataka,230202,76.89991600760338,69.91386279900333,8.496210647385656,8.005217927995023,53.14063350635895,32.29881700450528,74.53574194450562
2013,Karnataka,101449,69.1089283992348,68.30725167859988,26.105668399584914,,76.60794723746517,35.686041028168674,75.69196775620912
2014,Karnataka,85158,94.89389332792999,66.35805768205657,13.128807608914174,9.82583439574309,62.64557406139738,50.056071988091816,71.3443379711751
2015,Karnataka,133499,92.1760436879216,87.13492696060051,39.40133547799759,5.30154159795684,72.78835044483858,55.905419304127996,71.03034126448725
2016,Karnataka,115952,92.3693115902909,80.59776663733038,30.572486617609552,8.925342080920489,44.92930343915859,30.868391991011684,70.19452289227003
2017,Karnataka,111275,96.44791604879617,82.43090401276288,34.143687922070555,5.2829359499937585,82.09199717333307,41.94991504116159,69.09491815501784
2018,Karnataka,239325,67.83477997722284,88.53202379495727,,7.604118009123537,81.64583141692727,40.28831430018821,66.11542686463656
2019,Karnataka,202874,92.84886088847577,67.9927926425788,14.926256588835992,6.9022794852197995,60.51756385754499,62.88895541590875,70.48998392907168
2020,Karnataka,114788,68.71826179716591,92.78184442813414,15.916984144182354,6.782721608632948,80.45375669041111,38.956501583770205,68.04760291028754
2021,Karnataka,177862,84.07952254667667,75.93913646879516,9.507107310741016,3.8764849483449195,40.226582848873335,37.27790494346415,70.0712559861588
2022,Karnataka,127343,89.63277119382863,88.73867207077491,16.101942420976854,3.938457025202216,47.65415348531677,31.049370851470457,74.12850425426019
2023,Karnataka,153644,97.91478048484717,75.87879284990134,39.665050325479996,9.003361454915236,95.96785266692984,50.501697201667554,72.66564748442717
2011,Kerala,247253,67.82695276818237,69.6844397026058,29.36628123821023,3.2930336481996085,16.504471662678448,59.59876736897981,67.53660739137099
2012,Kerala,88327,69.1381412230366,93.94928524289688,11.93674233805875,7.787054012178075,19.38366911733288,55.21964303203478,75.3773845800696
2013,Kerala,183901,91.01034169749525,93.62657864655947,7.915105971031737,10.77782478776951,41.94738517221529,64.91728767053661,73.13959273402014
2014,Kerala,170581,90.64381117212696,75.21003205159117,18.418527752016104,,87.76097609792286,62.31788177720366,67.0583492864672
2015,Kerala,133453,85.60783214693689,93.22220340113853,16.44334367644899,7.809894086336701,49.62412324550656,,70.47996709823961
2016,Kerala,167106,94.13681409938769,89.56113860785698,18.53981010620086,6.825500546818128,58.16792750136378,60.36807157851363,75.860309346955
2017,Kerala,156368,65.08368473416482,,15.477053641626727,,31.621538379228316,40.74682524168162,70.65217312556128
2018,Kerala,259799,83.05773577560221,95.82464515708085,27.232959990943456,10.319222904173273,33.872254125869674,29.454474263475664,72.95320039722928
2019,Kerala,91203,71.34516671431501,66.04865207469001,37.645338128652064,3.255160680645217,45.958711342679315,25.30571278321914,68.85594122024735
2020,Kerala,115343,,86.88421691616992,13.94466914180103,8.008694566535247,46.519371039102865,39.40392644160801,
2021,Kerala,257148,75.6884343527147,63.6474220419571,39.092210082969835,3.1359186512771897,66.30360174452144,28.54147432338684,69.7685196903852
2022,Kerala,202544,70.82493796130242,71.04755138230072,19.575710529349085,4.33965143054825,86.26126989679068,40.4149678370044,68.60506852504881
2023,Kerala,233896,,67.03623546957414,22.93476719192014,10.2519972775548,81.79159600231819,55.12970078153754,67.66062192299187
2011,Madhya Pradesh,241740,85.99610478023101,66.5594144553182,33.98815554536122,7.618942484480169,84.78880192105292,32.63738971024612,70.09691101556382
2012,Madhya Pradesh,236527,75.52479263817537,,17.68580931931473,6.120769030249984,,37.298998184568845,71.13922859736002
2013,Madhya Pradesh,84231,66.4402511638226,76.66071976518577,24.7495927533221,4.6817392227011325,66.10254484583086,55.32737238302926,74.6673358362713
2014,Madhya Pradesh,239423,77.83468159591129,91.12571125739375,9.887606553461163,7.500578388747537,85.35722228149466,,71.95205022946823
2015,Madhya Pradesh,207413,93.76621210290712,,16.973127747219273,4.913167768693581,90.04724255070802,27.12731933044203,
2016,Madhya Pradesh,183864,73.31808474363712,79.83535355153126,39.19701861007631,,70.44254483885553,59.40549576119985,67.16512253619334
2017,Madhya Pradesh,95580,83.63216119829765,68.81577031647599,15.993909493967928,5.072063420794892,74.90371020027382,,68.16060755878982
2018,Madhya Pradesh,152922,80.02368005102335,76.31713954321187,31.97976848583215,6.923970804554143,75.42764622881609,56.38803402660415,69.1688572743372
2019,Madhya Pradesh,101573,77.03471045029013,,11.973270510646131,11.268321931714507,24.68787428884885,58.649508772942866,67.45965664379457
2020,Madhya Pradesh,226251,87.57528592631067,,7.225909469421829,5.2386005397657165,61.09209492230594,34.73631646708394,67.58333360279467
2021,Madhya Pradesh,192344,,,18.598745962181624,10.019336479855408,65.46886008787911,44.33716161559147,73.91572544584899
2022,Madhya Pradesh,231404,97.04587039410829,88.20942318838246,10.284736597440075,10.127930259020914,88.2352530207313,65.45234850400306,67.32210381324032
2023,Madhya Pradesh,152151,97.66218294768157,89.11944899303639,35.63743365612768,10.793179894022131,27.84581882198871,66.81524683914122,72.75629571099769
2011,Maharashtra,245298,97.63215209323084,69.15156011285266,39.75538106588925,11.963573398524066,93.08153527048063,36.17105761978244,66.08794320135257
2012,Maharashtra,162784,93.85495697083792,80.44138226254819,9.293163033368153,5.262206019369379,48.58680656190521,58.015348447570275,66.41516035185533
2013,Maharashtra,236811,79.25150037594952,87.25173806474413,10.533905775503644,4.213767862246243,61.524609121155756,59.07290972432748,67.4773112765119
2014,Maharashtra,250086,87.9916323391619,95.9107417257054,37.637928952843744,9.124161218313517,29.93327207935578,36.64179927683616,69.79034104033741
2015,Maharashtra,126115,,74.15147035226276,15.825805117854088,4.346737382172968,78.41771549018,36.79229561480788,67.01056180524624
2016,Maharashtra,185880,68.48826147537223,88.7979311243048,13.833713204473868,4.296743919890907,38.58743764342866,66.70947824449445,72.12460540314922
2017,Maharashtra,122512,68.67983567052949,90.25117659412203,37.95340170297315,3.1577625989714253,18.300190401298973,56.130150109839086,69.01538648387493
2018,Maharashtra,240183,82.2962103899504,66.25827544772908,35.06241981867138,7.581841492486044,91.14271998349756,30.06361909207204,67.6077999153808
2019,Maharashtra,188439,,82.88699894750502,,5.725595276222153,25.46625446260633,31.419107049239138,71.03042343927162
2020,Maharashtra,214064,83.25696364161116,89.23941770163802,15.169959365379306,,46.78837882329317,38.44340945635925,74.37281269760187
2021,Maharashtra,121366,68.66751069963792,84.80277107780937,10.382780657081359,3.0903485684104726,55.06899148518283,28.581236340203013,68.27112927981135
2022,Maharashtra,149140,91.90596133344295,73.34526926025993,38.508528077658674,5.8787887614219745,,50.505863506632046,67.1492758693868
2023,Maharashtra,111060,71.769001719435,83.19262712176516,30.95021664701135,11.45676341380299,66.7980649868716,64.62556203024269,67.46743483362786
2011,Rajasthan,206128,70.3274123714994,69.84642472643561,33.279400792412524,8.54470609827063,60.82997920034191,61.14888075244249,68.72875298159506
2012,Rajasthan,222215,65.53811619438748,64.51851884001955,20.328227938778006,10.050144133748155,26.44952878394281,28.813706845618196,74.08497614327722
2013,Rajasthan,166385,97.81161052490776,91.0245890316745,34.86881260621807,6.795419217544275,38.619864903143046,64.12472199351146,75.81089937870314
2014,Rajasthan,117834,95.72493485765776,82.93093269755158,23.6676959331915,7.360553960372425,98.97640232715811,38.88888479338924,66.76517022175234
2015,Rajasthan,158064,78.25092280932144,76.84051176420782,39.540531494134505,7.068982693641042,87.40070886431772,,71.05352497466501
2016,Rajasthan,124381,97.7665471958638,61.1613061728671,32.65022610285635,7.0916150756815135,43.054124446097035,50.697247720301164,70.20856254264478
2017,Rajasthan,241074,78.98085887773469,85.12184033762492,37.76249335302711,9.197152103702056,84.45001928824426,60.035870924834754,66.04578483345432
2018,Rajasthan,115518,94.58599922801235,69.48517146397332,17.13385263874198,4.08748516923458,28.41464826086434,33.62551823093726,68.84352794880752
2019,Rajasthan,234128,80.38779228558873,83.84796722396746,23.69904083587397,7.7113255167147585,45.53872334621444,48.43791980146668,69.81715513287637
2020,Rajasthan,97623,76.85409790833768,94.21663421065415,34.3764774968199,4.707405201985797,60.747883778221556,67.33913028701363,71.8460455166121
2021,Rajasthan,254565,86.17885945238277,,34.094183938353055,,70.11112514167871,60.20406379645691,67.62150106724972
2022,Rajasthan,121702,80.76333747695531,71.83558848086236,39.5832516897036,8.403982800199886,40.49227349544468,64.18310750218645,66.78763206611958
2023,Rajasthan,116920,87.46032749371335,85.54802626992472,37.15368955240978,4.079695691301767,47.5614619449788,34.20182621709915,74.2721898156295
2011,Tamil Nadu,259240,,61.91466365384338,18.502588655033776,7.261068117054448,88.39247531294326,31.984365967848305,
2012,Tamil Nadu,172105,79.29850748354751,75.10020840460297,10.079596626326744,10.777850556655487,73.38622256118094,67.39087664332126,74.15354792761826
2013,Tamil Nadu,197364,95.45949674637421,91.25784575021149,5.775362390254045,10.840320806721259,74.3844783884625,68.32957785423739,
2014,Tamil Nadu,119076,85.66414438828195,80.89350047267318,35.06412724138394,9.312071901027021,62.760156778798425,49.833520065802915,
2015,Tamil Nadu,82124,81.24826281275949,63.13652498767498,15.986900068392044,10.931542544963317,72.76078971867048,,75.46254907930069
2016,Tamil Nadu,102224,77.17884365458039,83.73577692828071,21.231122920184802,9.699858736554907,20.45232784977818,34.55263537771891,71.6236919393107
2017,Tamil Nadu,206972,74.8703186981487,,12.843000182156413,9.135239963177927,81.29848279275903,59.83363253986885,70.21333643136624
2018,Tamil Nadu,143898,94.0247784713047,78.48251020933657,5.107238510849223,8.61935515158539,,34.06066589580011,73.01944602253018
2019,Tamil Nadu,156032,67.76703288220455,89.19497400368529,19.324919436254618,8.176391916334602,40.39835639465147,53.643192568896865,71.48120418867457
2020,Tamil Nadu,249800,68.46191824585874,89.47590345719907,13.10714349249028,6.580757939453925,33.041326567714236,51.17537462377823,70.24218614989358
2021,Tamil Nadu,105478,94.67750053593448,64.8765383816124,29.636636056784155,9.220000446391385,72.89184013676827,35.65196502813195,70.49168912516204
2022,Tamil Nadu,196001,90.34589531131063,91.79256666520783,30.51278956742345,11.312738924158017,69.44590554717252,52.34598987229404,72.67299701272992
2023,Tamil Nadu,110995,80.25681179458135,86.85124703661151,14.459241113738656,9.015782615671439,83.25981762708099,54.410593352217504,75.03208010018997
2011,Uttar Pradesh,167858,95.71923455805322,80.26532069842773,35.36222955278643,6.344099692029988,89.13382601263643,69.37521027562923,70.12801081114507
2012,Uttar Pradesh,91592,95.02553940922623,80.63072570705448,5.823491767073812,7.221934729902449,34.39472438141569,53.44845338540023,71.1331201694585
2013,Uttar Pradesh,187780,70.27156048792908,83.21320725438609,27.10400619878954,8.876632587599016,40.17374263244727,27.47117577658877,70.9794655392468
2014,Uttar Pradesh,152855,65.9026425042603,87.1569114892567,31.132024728153585,10.797224006535382,,26.150091252167016,68.40407578439635
2015,Uttar Pradesh,245859,67.9292350333841,65.7341942854329,23.310889530636615,3.389981288777536,,69.00934930400044,70.67181379577642
2016,Uttar Pradesh,87514,85.64706561061963,73.51797868443253,30.55363817188797,5.259031764328289,36.475459347715585,58.998735845545845,73.74106894528015
2017,Uttar Pradesh,190715,,83.2503546658908,24.832100164735774,5.788961545434134,22.368549236782226,26.879057473600152,
2018,Uttar Pradesh,187111,69.00246795928551,82.62746585877005,,6.48250906731284,95.81408119654371,51.179000387113916,66.28705807092672
2019,Uttar Pradesh,86569,73.31252678138198,95.11799228449982,36.599289804941165,7.257597130527881,91.31386468272174,44.03833608043614,70.09451613549878
2020,Uttar Pradesh,193410,77.14877163212101,85.67841148443092,5.278758226960743,10.732908478938501,58.71745894221584,47.479137578357594,71.95601207310695
2021,Uttar Pradesh,131321,76.87795690985956,88.77804741856534,33.85128491626379,11.76018546162524,24.898045614326556,,75.05218278076222
2022,Uttar Pradesh,198609,68.60689974853359,74.33985740329747,18.14265706846198,8.430996709530023,73.20388984238949,61.23869887637543,73.79751538832903
2023,Uttar Pradesh,116347,76.90206998709749,88.23873900054495,,10.287868958105246,35.423818714634876,60.60795861400355,74.43889774170077
2011,West Bengal,234285,88.1540630683664,78.58229722368011,21.808847379194653,8.248632962730646,,31.949040431292033,66.62340824863495
2012,West Bengal,181386,92.66169751144211,94.54561723648695,7.647488538792332,5.548939142295421,63.23095370055578,64.32869124482546,67.0496069600084
2013,West Bengal,242510,66.64970536352142,78.95966496460488,6.96500308382616,,91.75329015533592,44.28084442363931,68.68672294644158
2014,West Bengal,114214,86.46941783472309,71.73949174413923,13.969707668168223,5.935434559241319,39.984852460918724,36.114924472898366,66.83671797383695
2015,West Bengal,183152,95.55833977216027,69.84395528719793,7.715929508881187,5.271341429762831,62.52793571825839,34.01246663986478,66.09308929182441
2016,West Bengal,188314,88.41554340297625,79.71379730825383,38.07258290566941,11.948984586615957,93.00399627720567,27.102148688519208,75.05312685299052
2017,West Bengal,157142,76.70669977552046,73.69540926709423,22.44498524142196,9.600070279608651,59.07114129068872,,66.46719916448782
2018,West Bengal,224503,67.49857324978626,,29.439533499127446,10.316304723446127,27.600635968698196,38.59324288172614,73.68027417758404
2019,West Bengal,170722,89.98502317109057,81.03094657250419,7.845532838055151,3.399851393636491,90.38921860760355,48.47851085309672,
2020,West Bengal,152054,65.44994857826015,67.29688657099766,25.44433452724409,10.392654191715572,15.189319891664054,60.253564759915555,69.57344118079895
2021,West Bengal,116922,,73.66746852136528,39.053052066968505,7.634740379213389,98.76014146003617,62.24774489199792,70.61467403745574
2022,West Bengal,201211,81.44390054346616,62.055886852109836,13.778627409200181,,22.746194127523633,26.002438098411158,69.01310602978654
2023,West Bengal,162363,84.90768135102122,89.37115589118415,32.251637798578415,8.225472916694518,29.704281098201434,,68.72451904670837
